Album/Artist                                                                                                        |  Size | Type | Quality
    Anal Cunt                                                                                                       |       |      | 
        1998 -- Picnic Of Love                                                                                      | 34.4M | MP3  | -V0n
    Anamanaguchi                                                                                                    |       |      | 
        2009 - Dawn Metropolis                                                                                      | 60.2M | MP3  | 320 C
    Ancient Grease                                                                                                  |       |      | 
        1970 - Women And Children First                                                                             |  122M | MP3  | -b 320
    Andem                                                                                                           |       |      | 
        2008 - Pendulum of Life                                                                                     | 39.1M | MP3  | 122 ~
    Andre Matos                                                                                                     |       |      | 
        2007 - Time to Be Free                                                                                      |  153M | MP3  | 307 V
        2010 - Mentalize                                                                                            |  127M | MP3  | -b 320
    Andre Rieu                                                                                                      |       |      | 
        1999 - 100 Jahre Strauß                                                                                     |  139M | MP3  | 320 C
        2009 - Forever Vienna                                                                                       |  175M | MP3  | 320 C
    Andrés Segovia                                                                                                  |       |      | 
        The Art of Segovia                                                                                          |  363M | MP3  | 320 C
    Anglagard                                                                                                       |       |      | 
        1992 - Hybris                                                                                               |  118M | MP3  | -b 320
        1994 - Epilog                                                                                               |  100M | MP3  | -b 320
        1996 - Buried Alive                                                                                         |  165M | MP3  | -b 320
    Angra                                                                                                           |       |      | 
        1993 - Angels Cry                                                                                           |  170M | MP3  | 320 C
        1996 - Freedom Call (EP)                                                                                    |  112M | MP3  | 320 C
        1996 - Holy Land                                                                                            |  130M | MP3  | 320 C
        1997 - All Acoustic (Bootleg)                                                                               |  144M | MP3  | 320 C
        1998 - Fireworks                                                                                            |  139M | MP3  | 310 ~
        2001 - Rebirth                                                                                              |  121M | MP3  | 320 C
        2002 - Hunters And Prey (EP)                                                                                | 87.8M | MP3  | 320 C
        2002 - Rebirth World Tour - Live In São Paulo                                                               |  225M | MP3  | 320 C
        2004 - Temple Of Shadows                                                                                    |  153M | MP3  | 320 C
        2006 - Aurora Consurgens                                                                                    |  122M | MP3  | 310 ~
        2010 - Aqua                                                                                                 |  328M | FLAC | 932 L
    Anthony 'Shake' Shakir                                                                                          |       |      | 
        Anthony Shake Shakir - Frictionalism 1994-2009 (Rush Hour 110)                                              |  488M | MP3  | -b 320
    Antonio Carlos Jobim                                                                                            |       |      | 
        1970 - Tide                                                                                                 | 79.9M | MP3  | -b 320
        1975 - Urubu                                                                                                | 86.0M | MP3  | -b 320
        1987 - Passarim                                                                                             | 94.2M | MP3  | -b 320
        1994 - Antonio Brasileiro                                                                                   |  114M | MP3  | -b 320
        Frank Sinatra & Antonio Carlos Jobim                                                                        | 65.4M | MP3  | 320 C
        Ruins                                                                                                       |       |      | 
            1987 - Inédito - Disco 1                                                                                | 33.3M | MP3  | 128 C
            1987 - Inédito - Disco 2                                                                                | 30.6M | MP3  | 128 C
            Minha História                                                                                          | 45.2M | MP3  | 128 C
        Wave                                                                                                        | 73.2M | MP3  | -b 320
    Antonio Carlos Jobim e Piazzolla                                                                                |       |      | 
        2010 - Encontro                                                                                             | 86.0M | MP3  | -b 320
    Aperion                                                                                                         |       |      | 
        2010 - Act Of Hybris                                                                                        |  342M | FLAC | 1001 L
    Aphex Twin                                                                                                      |       |      | 
        1987 - Analogue Bubblebath EP1 [1991]                                                                       | 37.4M | MP3  | -V0n
        1989 - Universal Indicator Red EP [1993]                                                                    | 58.2M | MP3  | -V0n
        1990 - GAK EP [1994]                                                                                        | 43.1M | MP3  | -V0
        1991 - Analogue Bubblebath EP2                                                                              | 29.0M | MP3  | -V0n
        1991 - Bradley's Beat EP                                                                                    | 26.3M | MP3  | -V0n
        1992 - Analogue Bubblebath 3+3.1                                                                            |  108M | MP3  | 241 ~
        1992 - Pac-Man [single]                                                                                     | 36.1M | MP3  | -V0
        1992 - Q-Chastic EP                                                                                         | 28.1M | MP3  | 124 ~
        1992 - Selected Ambient Works Vol.1 [85-92] [2008 RM]                                                       |  134M | MP3  | -V0n
        1992 - Universal Indicator Blue EP                                                                          | 59.4M | MP3  | -V0n
        1992 - Universal Indicator Ultra-Violet EP [2001]                                                           | 45.5M | MP3  | 256 C
        1993 - Bradley's Robot EP                                                                                   | 46.4M | MP3  | 256 C
        1993 - Caustic Window Compilation [Joyrex EPs 92-93] [1998]                                                 |  109M | MP3  | 241 V
        1993 - On [single + remixes]                                                                                | 98.9M | MP3  | -V0n
        1993 - Surfing on Sine Waves [+ Quoth EP]                                                                   |  129M | MP3  | -V0n
        1993 - Universal Indicator Yellow EP                                                                        | 58.2M | MP3  | -V0n
        1994 - Analogue Bubblebath EP4                                                                              | 44.2M | MP3  | -V0n
        1994 - Classics [92-94] [Digeridoo EP + Xylem Tube EP] [2008 RM]                                            |  128M | MP3  | -V0n
        1994 - Selected Ambient Works Vol.2                                                                         |       |      | 
            CD1                                                                                                     |  123M | MP3  | -V0n
            CD2                                                                                                     |  119M | MP3  | -V0n
        1994 - Untitled Tracks from NASA [93-94]                                                                    | 16.0M | MP3  | 160 C
        1994 - Words & Music EP                                                                                     | 44.2M | MP3  | -V0n
        1995 - Analogue Bubblebath 5 [2005]                                                                         | 82.2M | MP3  | -V0n
        1995 - Dokey Rhubarb EP                                                                                     | 37.8M | MP3  | -V0n
        1995 - Hangable Auto Bulb [2005]                                                                            | 44.7M | MP3  | -V0n
        1995 - ...I Care Because You Do [90-94]                                                                     | 93.9M | MP3  | -V0n
        1995 - Melodies from Mars                                                                                   | 76.6M | MP3  | -V0
        1995 - Peel Sessions 1992-1995                                                                              | 51.7M | MP3  | -V0n
        1995 - Universal Indicator Green EPs [12''+10''+7'']                                                        | 96.7M | MP3  | -V0n
        1995 - Ventolin [single + remixes]                                                                          | 77.5M | MP3  | -V0n
        1996 - Expert Knob Twiddlers [feat Mu-Ziq]                                                                  | 81.8M | MP3  | -V0n
        1996 - Richard D. James Album [+ Girl_Boy EP]                                                               | 69.5M | MP3  | -V0n
        1997 - Come to Daddy EP                                                                                     | 53.1M | MP3  | -V0n
        1999 - Windowlicker EP                                                                                      | 38.2M | MP3  | 227 ~
        2000 - Flex [soundtrack]                                                                                    | 29.8M | MP3  | 191 ~
        2001 - 2 Remixes by AFX [single]                                                                            | 16.7M | MP3  | -V0n
        2001 - Drukqs                                                                                               |       |      | 
            CD1                                                                                                     | 81.1M | MP3  | -V0n
            CD2                                                                                                     | 73.6M | MP3  | -V0n
        2001 - Innovation in The Dynamics of Acid [89-95] [Mixed by Kosmik Kommando]                                |  113M | MP3  | -V0n
        2001 - Rare & Unreleased                                                                                    |       |      | 
            CD1                                                                                                     | 73.7M | MP3  | 193 ~
            CD2                                                                                                     | 56.2M | MP3  | 141 ~
        2001 - V-Vm - HelpAphexTwin 1.0 [We Don't Give a Shit] EP                                                   | 18.9M | MP3  | 128 C
        2001 - V-Vm - HelpAphexTwin 2.0 [...Because You Don't Give a Fuck] EP                                       | 28.2M | MP3  | 192 C
        2003 - 26 Mixes for Cash                                                                                    |       |      | 
            CD1                                                                                                     |  103M | MP3  | -V0n
            CD2                                                                                                     | 97.3M | MP3  | -V0n
        2003 - Smojphace EP                                                                                         | 27.9M | MP3  | -V0n
        2003 - Streamload EP [feat Mike Flower Pops]                                                                | 27.3M | MP3  | 128 C
        2003 - V-Vm - HelpAphexTwin 4.0                                                                             | 85.9M | MP3  | 236 ~
        2004 - Heroes [vs Philip Glass & David Bowie] [single remixes]                                              | 16.5M | MP3  | 207 V
        2004 - Run Jeremy's Window Licker [single]                                                                  | 20.3M | MP3  | -V1
        2004 - Untitled Warp Promo EP                                                                               | 29.5M | MP3  | 192 C
        2005 - 4 Track EP [feat LFO]                                                                                | 32.0M | MP3  | -V0n
        2005 - Acoustica, Alarm Will Sound performs Aphex Twin                                                      |  114M | MP3  | -V0n
        2005 - Analord                                                                                              |       |      | 
            Analord EP01                                                                                            | 39.0M | MP3  | -V0n
            Analord EP02                                                                                            | 37.4M | MP3  | -V0n
            Analord EP03                                                                                            | 31.3M | MP3  | 232 V
            Analord EP04                                                                                            | 30.8M | MP3  | -V0n
            Analord EP05                                                                                            | 18.7M | MP3  | -V0n
            Analord EP06                                                                                            | 38.3M | MP3  | -V0n
            Analord EP07                                                                                            | 34.8M | MP3  | -V0n
            Analord EP08                                                                                            | 35.3M | MP3  | -V0n
            Analord EP09                                                                                            | 30.4M | MP3  | -V0n
                Analord EP09 [bootleg]                                                                              | 36.2M | MP3  | 192 C
            Analord EP10                                                                                            | 23.8M | MP3  | -V0n
            Analord EP11                                                                                            | 34.3M | MP3  | -V0n
        2005 - Rubber Johnny [single]                                                                               | 8.06M | MP3  | 188 V
        2007 - Confederation Trough EP                                                                              | 25.3M | MP3  | -V0n
        2007 - Rushup Edge                                                                                          | 63.2M | MP3  | -V0
    Aphrodite's Child                                                                                               |       |      | 
        Aphrodite's Child - 666  1971                                                                               |       |      | 
            Disc-1                                                                                                  | 83.9M | MP3  | 320 C
            Disc-2                                                                                                  | 95.3M | MP3  | 320 C
    Appaloosa                                                                                                       |       |      | 
        Appaloosa - Appaloosa (1969)                                                                                | 96.2M | MP3  | 320 C
    Aqua                                                                                                            |       |      | 
        2009 - Greatest Hits                                                                                        |  529M | FLAC | 1045 L
    Aquarelle                                                                                                       |       |      | 
        1979 - Live In Montreaux                                                                                    | 92.6M | MP3  | -b 320
    Aquelarre                                                                                                       |       |      | 
        1972 - Aquelarre                                                                                            | 88.7M | MP3  | 320 C
    Arcade Fire                                                                                                     |       |      | 
        Arcade Fire - Neon Bible (2007) [FLAC]                                                                      |  309M | FLAC | 919 L
        Arcade Fire - The Suburbs [mp3-320-2010]                                                                    |  156M | MP3  | 320 C
        Funeral Japan 320                                                                                           |  152M | MP3  | -b 320
    Arch Enemy                                                                                                      |       |      | 
        2005 - Doomsday Machine                                                                                     |  113M | MP3  | 320 C
    Architectural Abdabs                                                                                            |       |      | 
        1996 - A Fish Out Of Water                                                                                  | 13.9M | MP3  | 320 C
        1996 - A Fish Out Of Water - Flac                                                                           | 34.8M | FLAC | 805 L
    Aretha Franklin                                                                                                 |       |      | 
        30 Greatest Hits                                                                                            |       |      | 
            Disc 1                                                                                                  |  106M | MP3  | 320 C
            Disc 2                                                                                                  |  108M | MP3  | 320 C
    Arion                                                                                                           |       |      | 
        2001 - Arion                                                                                                |  145M | MP3  | 320 C
