Album/Artist                                                                                                        |  Size | Type | Quality
        1989_Seminar                                                                                                |  264M | FLAC | 830 L
        1990 - Gling-Glo TPLP61CD                                                                                   |  292M | FLAC | 802 L
        1990 - In A Priest Driven Ambulance (With Silver Sunshine Stares)                                           |  362M | FLAC | 898 L
        1990 - John Lee Hooker - Love Blues                                                                         |  222M | FLAC | 699 L
        1990_Please Hammer Don't Hurt 'Em                                                                           |  395M | FLAC | 929 L
        [1991] Funkadelic - Cosmic Slop [FLAC]                                                                      |  244M | FLAC | 953 L
        1991- Spine of God                                                                                          |  409M | FLAC | 978 L
        1992_Mack Daddy                                                                                             |  375M | FLAC | 874 L
        1992- Vulgar Display of Power                                                                               |  379M | FLAC | 1004 L
        [1993] On (Remixes)                                                                                         |  181M | FLAC | 758 L
        1994_Chief Boot Knocka                                                                                      |  328M | FLAC | 852 L
        1994 - Definitely Maybe - Japan MiniLP CD EICP-690                                                          |  446M | FLAC | 1011 L
        1994 - II                                                                                                   |  486M | FLAC | 890 L
        [1994] Words & Music                                                                                        |  120M | FLAC | 602 L
        1995 - Clouds Taste Metallic FLAC                                                                           |  308M | FLAC | 908 L
        1995 - Crouçie D'où Là                                                                                      |  170M | FLAC | 810 L
        [1995] Donkey Rhubarb                                                                                       |  137M | FLAC | 783 L
        1995 - Mental Modulator                                                                                     |  501M | FLAC | 968 L
        1995 - THRAK (30th Anniversary Edition)  [FLAC]                                                             |  337M | FLAC | 835 L
        1996 - 7 What.cd                                                                                            |  261M | FLAC | 966 L
        [1996]  Lather                                                                                              |       |      | 
            Disc 1                                                                                                  |  348M | FLAC | 847 L
            Disc 2                                                                                                  |  352M | FLAC | 862 L
            Disc 3                                                                                                  |  354M | FLAC | 851 L
        1996- Merman                                                                                                |  171M | FLAC | 779 L
        1996_Return Of The Bumpasaurus                                                                              |  454M | FLAC | 917 L
        1996 - The Music That We Hear (Moog Island) (US 5-Track Edition) [CDS]                                      |  141M | FLAC | 830 L
        [1997] The Lonesome Crowded West                                                                            |  473M | FLAC | 896 L
        [1998] 30. Yıl [FLAC]                                                                                       |  274M | FLAC | 855 L
        1998- Liquid Tension Experiment                                                                             |  526M | FLAC | 995 L
        1998 - Private Life The Compass Point Sessions (flac)                                                       |       |      | 
            CD1                                                                                                     |  553M | FLAC | 988 L
            CD2                                                                                                     |  533M | FLAC | 995 L
        [1999] 13                                                                                                   |  386M | FLAC | 809 L
        [1999] Enema of the State (Japanese Edition, MVCE-24224)                                                    |  411M | FLAC | 1036 L
        [1999] Everything Is Healing Nicely                                                                         |  292M | FLAC | 597 L
        1999- Liquid Tension Experiment 2                                                                           |  508M | FLAC | 962 L
        1999 - Significant Other (UK Special Edition)                                                               |  402M | FLAC | 897 L
            Bonus Disc                                                                                              |  110M | FLAC | 990 L
        1999 - The Main Event - Live at the Maple Leaf (2004 Release) [FLAC]                                        |  491M | FLAC | 931 L
        2000 - Chocolate Starfish And The Hot Dog Flavored Water                                                    |  482M | FLAC | 899 L
            Bonus Disc                                                                                              | 28.9M | FLAC | 895 L
        2000- Classical Mushroom                                                                                    |  466M | FLAC | 883 L
        2000 - Ken Burns Jazz- The Definitive Ella Fitzgerald                                                       |  283M | FLAC | 562 L
        2000- Machina, The Machines of God                                                                          |  521M | FLAC | 995 L
        2000 - Mamas Gun                                                                                            |  428M | FLAC | 834 L
        (2000) Memórias, Crônicas E Declarações De Amor [FLAC]                                                      |  243M | FLAC | 823 L
        2000- Mer de Noms                                                                                           |  300M | FLAC | 944 L
        2000 - The Marshall Mathers LP                                                                              |  446M | FLAC | 866 L
            Bonus Disc                                                                                              |  171M | FLAC | 904 L
        2000 - The MC Hammer Hits                                                                                   |  523M | FLAC | 937 L
        [2001] Gal de Tantos Amores                                                                                 |  324M | FLAC | 862 L
        2001 - Hot Venom [FLAC]                                                                                     |  486M | FLAC | 923 L
        2001- Those Who Tell the Truth Shall Die, Those Who Tell the Truth Shall Live Forever                       |  286M | FLAC | 804 L
        2001 - Vent                                                                                                 |  389M | FLAC | 990 L
        2001 - Zaubersprüche                                                                                        |  304M | FLAC | 891 L
        2001 - Zeit [BPC 032]                                                                                       |  248M | FLAC | 847 L
        (2002) 21 Singles [FLAC]                                                                                    |  538M | FLAC | 1029 L
        2002 - A State of Wonder                                                                                    |       |      | 
            01 - J.S. Bach - Goldberg Variations, BWV 988 - 1955 Recording                                          |  115M | FLAC | 424 L
            02 - J.S. Bach - Goldberg Variations, BWV 988 - 1981 Recording                                          |  181M | FLAC | 496 L
            03 - Bonus Disc                                                                                         |  225M | FLAC | 498 L
        [2002] Django Reinhardt - Nuits De Saint-Germain-Des-Prés [018 427-2] (FLAC)                                |  161M | FLAC | 616 L
        2002 - Heathen Chemistry - Japan MiniLP CD EICP-694                                                         |  375M | FLAC | 677 L
        2002 - Heathen [FLAC, EAC Logs, Cues]                                                                       |       |      | 
            Disc 1                                                                                                  |  355M | FLAC | 963 L
            Disc 2                                                                                                  |  109M | FLAC | 901 L
        2002 - If It Was You FLAC                                                                                   |  281M | FLAC | 998 L
        2002 - Off Minor                                                                                            |  173M | FLAC | 952 L
        [2002] Tributo                                                                                              |  421M | FLAC | 884 L
        2002 - Yankee Hotel Foxtrot                                                                                 |  318M | FLAC | 859 L
        [2003.10.21] Bucketheadland 2                                                                               |  299M | FLAC | 717 L
        [2003] 26 Mixes For Cash                                                                                    |  778M | FLAC | 782 L
        2003 - Boy In Da Corner                                                                                     |  344M | FLAC | 840 L
        2003- Converting Vegetarians                                                                                |       |      | 
            Disc1- Trance Side                                                                                      |  467M | FLAC | 858 L
            Disc2- The Other Side                                                                                   |  452M | FLAC | 831 L
        2003_Daddy's Home                                                                                           |  352M | FLAC | 928 L
        [2003]Diru - VULGAR (FLAC LOG CUE M3U)                                                                      |  416M | FLAC | 1022 L
        2003 - Old World Underground, Where Are You Now?                                                            |  245M | FLAC | 925 L
        [2003] The Fiery Furnaces - Crystal Clear [FLAC]                                                            | 74.9M | FLAC | 854 L
        2003 - Thirteenth Step                                                                                      |  307M | FLAC | 852 L
        2004- eMOTIVE                                                                                               |  316M | FLAC | 918 L
        2004 - Franz Ferdinand (Japanese Edition)                                                                   |  326M | FLAC | 895 L
        2004 - I'm a Bluesman                                                                                       |  349M | FLAC | 953 L
        2004- Leviathan                                                                                             |  347M | FLAC | 1039 L
        2004 - The Definitive Box Set 3CD - [FLAC] - [CUE] - [LOG]                                                  |       |      | 
            CD1                                                                                                     |  248M | FLAC | 772 L
            CD2                                                                                                     |  297M | FLAC | 804 L
            CD3                                                                                                     |  259M | FLAC | 798 L
        [2004] The Moon & Antarctica [Remastered] [FLAC]                                                            |  453M | FLAC | 882 L
        2004 - Unfinished Business                                                                                  |  275M | FLAC | 865 L
        [2005] Céu {Warner Music Brazil}                                                                            |  307M | FLAC | 800 L
        2005. Dream Theater - Octavarium                                                                            |  516M | FLAC | 953 L
        2005 - Greatest Hitz                                                                                        |  552M | FLAC | 997 L
        2005- Guero {Deluxe}                                                                                        |  514M | FLAC | 912 L
        [2005] Highest Hopes - The Best of Nightwish                                                                |  561M | FLAC | 1000 L
        2005 - Lighten Up [CDS]                                                                                     |  101M | FLAC | 985 L
        [2005] Shakira - Fijación Oral, Volume 1 [FLAC]                                                             |  257M | FLAC | 826 L
        2005 - You Could Have It So Much Better (Japanese Edition)                                                  |  334M | FLAC | 990 L
        2005 - Young Mountain                                                                                       |  224M | FLAC | 868 L
        2006 - Mind Over Body [FLAC]                                                                                |  554M | FLAC | 971 L
        [2006] Sonic Youth - Rather Ripped                                                                          |  393M | FLAC | 885 L
        (2006) The Captain & The Kid                                                                                |  299M | FLAC | 912 L
        2006 - Ys                                                                                                   |  285M | FLAC | 715 L
        2006 - Zero 7 - The Garden (Japan) FLAC                                                                     |  367M | FLAC | 804 L
        2007- All of a Sudden I Miss Everyone {Limited Edition}                                                     |       |      | 
            Disc 1                                                                                                  |  240M | FLAC | 771 L
            Disc 2                                                                                                  |  272M | FLAC | 799 L
        2007- And Their Refinement of the Decline                                                                   |       |      | 
            CD1                                                                                                     |  244M | FLAC | 563 L
            CD2                                                                                                     |  261M | FLAC | 609 L
        [2007] Echoes, Silence, Patience & Grace [FLAC]                                                             |  335M | FLAC | 917 L
        [2007] Good Morning Revival                                                                                 |  324M | FLAC | 1021 L
        2007 - Wincing The Night Away                                                                               |  281M | FLAC | 942 L
        2007- Zeitgeist {Best Buy Silver Edition}                                                                   |  466M | FLAC | 974 L
        2008 - 25th Anniversary [FLAC]                                                                              |  400M | FLAC | 990 L
        [2008] Aleluia 1964-66 [El, Cherry Red]                                                                     |  430M | FLAC | 755 L
        2008 - Flashy [FLAC.Waffle Iron]                                                                            |  344M | FLAC | 1072 L
        (2008) R.E.M. - Accelerate [FLAC] [waffles]                                                                 |  252M | FLAC | 1022 L
        [2008] The Faint - Fasciinatiion [FLAC]                                                                     |  230M | FLAC | 922 L
        [2008] The Slip [FLAC]                                                                                      |  243M | FLAC | 779 L
        [2009] Aleph at Hallucinatory Mountain [Coptic Cat, UK, NIFE004CD]                                          |  331M | FLAC | 864 L
        2009 - All the Good Shit                                                                                    |  368M | FLAC | 1051 L
        2009 - It's Not Me, It's You (Special Edition)                                                              |  533M | FLAC | 946 L
        2009 - Kill [FLAC.Waffle Iron]                                                                              |  331M | FLAC | 1067 L
        2009 - Life Starts Now [FLAC tracks]                                                                        |  317M | FLAC | 1019 L
        2009 - Rated R                                                                                              |  351M | FLAC | 947 L
        2009 - The Fear Remixes (Promo)                                                                             |  527M | FLAC | 971 L
        2009 - The Weirding                                                                                         |  427M | FLAC | 758 L
        2010 - Another Man's Treasure [FLAC.WI]                                                                     |  269M | FLAC | 817 L
        2010 - Cannibal  FLAC                                                                                       |  225M | FLAC | 987 L
        [2010] The Chemical Brothers - Further (Japan Edition) (FLAC)                                               |  400M | FLAC | 939 L
        2011 - Biophilia [Manual Edition]                                                                           |       |      | 
            Disc 1                                                                                                  |  254M | FLAC | 718 L
            Disc 2                                                                                                  |  402M | FLAC | 761 L
        2011 - Broadcast                                                                                            |  268M | FLAC | 861 L
        2011 - Cults [FLAC]                                                                                         |  226M | FLAC | 940 L
        [2011] - Drive (Original Motion Picture Soundtrack)                                                         |  317M | FLAC | 631 L
        2011 - Endgame                                                                                              |  361M | FLAC | 1030 L
        2011 - From Chaos To Eternity                                                                               |  410M | FLAC | 927 L
        2011 - I'm With You FLAC                                                                                    |  423M | FLAC | 998 L
        2011 - marshmellow playground EP [FLAC]                                                                     | 85.8M | FLAC | 888 L
        2011 - Pato Fu - Música de Brinquedo Ao Vivo                                                                |  339M | FLAC | 931 L
        (2011) Romance (FLAC)                                                                                       |  189M | FLAC | 786 L
        [2011] - The Rip Tide                                                                                       |  206M | FLAC | 872 L
        [2011] This Is Gonna Hurt                                                                                   |  343M | FLAC | 983 L
        2562 - Aerial [TECCD004] (FLAC)                                                                             |  299M | FLAC | 818 L
        Acabou Chorare (1972) [seeding]                                                                             |  230M | FLAC | 815 L
        Adam Freeland - How To Fake Your Own Life CDR Promo [MAPA058] 2010 FLAC                                     |  132M | FLAC | 1009 L
        Adam Sandler - Stan and Judy's Kid                                                                          |  414M | FLAC | 770 L
        Adele - 19 (Expanded Edition)                                                                               |       |      | 
            Adele - 19                                                                                              |  256M | FLAC | 823 L
            Adele - 19 (Bonus Disc)                                                                                 |  195M | FLAC | 768 L
        Adele - 2011 - 21                                                                                           |  327M | FLAC | 837 L
        Adore - [2009] Emotion (EP)                                                                                 | 100.0 | FLAC | 738 L
        Adriana Calcanhotto - 2008 - Maré                                                                           |  205M | FLAC | 839 L
        Adrian Belew - 1990 - Young Lions                                                                           |  254M | FLAC | 928 L
        Adrian Belew - 1992 - Inner Revolution                                                                      |  273M | FLAC | 958 L
        Adrian Belew - Side Three - 2006                                                                            |  252M | FLAC | 914 L
        Adrian Belew - Side Two [2005]                                                                              |  223M | FLAC | 943 L
        Adventure                                                                                                   |  312M | FLAC | 720 L
        Aerosmith - 2002 - O, Yeah! Ultimate Aerosmith Hits                                                         |       |      | 
            Aerosmith - 2002 - O, Yeah! Ultimate Aerosmith Hits [Disc 1] [FLAC]                                     |  492M | FLAC | 979 L
            Aerosmith - 2002 - O, Yeah! Ultimate Aerosmith Hits [Disc 2] [FLAC]                                     |  552M | FLAC | 1024 L
        Aerosmith - Tough Love Best Of The Ballads (2011) [FLAC]                                                    |  553M | FLAC | 990 L
        African Herbsman                                                                                            |  173M | FLAC | 509 L
        AfroCubism - 2010 - AfroCubism [FLAC]                                                                       |  332M | FLAC | 793 L
        A Hundred Million Suns                                                                                      |  384M | FLAC | 923 L
        Alanis Morissette - Feast On Scraps [2002-FLAC-Lossless-Log]                                                |  275M | FLAC | 942 L
        Alanis Morissette - Jagged Little Pill (1995)                                                               |  370M | FLAC | 903 L
        Alanis Morissette - MTV Unplugged                                                                           |  357M | FLAC | 930 L
        Alanis Morissette - Space Cakes FLAC                                                                        |  141M | FLAC | 864 L
        Alanis Morissette - Supposed Former Infatuation Junkie FLAC                                                 |  453M | FLAC | 884 L
        Alan Parsons Project, The - I Robot (1977) (2009 SHM-CD)                                                    |  365M | FLAC | 813 L
        Albert_King-Born_Under_A_Bad_Sign-MFSL_GOLD_UDCD_577-1967-FLAC                                              |  181M | FLAC | 731 L
        Albert King - King Albert (1988) [FLAC]                                                                     |  202M | FLAC | 785 L
        Albert King - Live Wire, Blues Power (1968) [FLAC]                                                          |  207M | FLAC | 758 L
        Albert King - Truckload of Lovin' (1988) [FLAC]                                                             |  232M | FLAC | 825 L
        Albert King - Wednesday Night At The Fillmore (1968) [FLAC]                                                 |  247M | FLAC | 768 L
        Albert King - Years Gone By (1992) [FLAC]                                                                   |  381M | FLAC | 710 L
        Albert Vargas - LoveLoveLove FLAC                                                                           |  115M | FLAC | 780 L
        Alceu Valença - Forró  de Todos os Tempos (1998-FLAC)                                                       |  331M | FLAC | 1006 L
        Alessi's Ark - 2010 - Soul Proprietor [FLAC]                                                                | 59.8M | FLAC | 835 L
        Alex Gaudino - My Destination-2008-rB                                                                       |  327M | FLAC | 1006 L
        Ali Farka Touré - 2006 - Savane [FLAC]                                                                      |  329M | FLAC | 784 L
        A Life Like No Other - 2011 - The Return Of The Hero [FLAC]                                                 |  315M | FLAC | 986 L
        Alison Krauss - I've Got That Old Feeling  [1990-CD-FLAC-Lossless-Log]                                      |  209M | FLAC | 831 L
        Alison Krauss & Union Station - Every Time You Say Goodbye                                                  |  213M | FLAC | 701 L
        Alison Krauss & Union Station - Two Highways                                                                |  211M | FLAC | 760 L
        Alívio Imediato (1989) [seeding]                                                                            |  401M | FLAC | 1009 L
        All Things Must Pass                                                                                        |       |      | 
            Disc 1                                                                                                  |  404M | FLAC | 944 L
            Disc 2                                                                                                  |  444M | FLAC | 940 L
        Alpocalypse - 2011 [FLAC]                                                                                   |  327M | FLAC | 995 L
        Americana                                                                                                   |  304M | FLAC | 976 L
        aMOTION                                                                                                     |  262M | FLAC | 926 L
        ana carolina - ana carolina (1999) [FLAC]                                                                   |  373M | FLAC | 971 L
        ana carolina - ana, rita, joana, iracema e carolina (2001) [FLAC]                                           |  378M | FLAC | 951 L
        ana carolina - estampado (2003) [FLAC]                                                                      |  354M | FLAC | 884 L
        ana carolina - nove (2009) [FLAC]                                                                           |  240M | FLAC | 858 L
        Andrea Bocelli - 1999 - Sacred Arias                                                                        |  296M | FLAC | 666 L
        Andrea Bocelli - 1999 - Sogno [FLAC-Lossless-Log]                                                           |  336M | FLAC | 770 L
        Andrea Bocelli - 2001 - Victoria's Secret Presents - Mistero Dell' Amore (The Mystery Of Love) [FLAC-Lossles|  177M | FLAC | 804 L
        Andrea Bocelli - 2006 - Amore [FLAC]                                                                        |  347M | FLAC | 845 L
        Andrea Bocelli - 2007 - Vivere - The Best Of Andrea Bocelli                                                 |  400M | FLAC | 814 L
        Andrea Bocelli - Aria-The Opera Album (1998) [FLAC]                                                         |  254M | FLAC | 674 L
        Andrea Bocelli - Cieli di Toscana (FLAC)                                                                    |  353M | FLAC | 805 L
        Andrea Bocelli - My Christmas (2009) [FLAC]                                                                 |  350M | FLAC | 790 L
        Andrea Bocelli - Sentimento                                                                                 |  293M | FLAC | 723 L
        Andrea Bocelli - Verdi [FLAC]                                                                               |  245M | FLAC | 566 L
        Andrea Bocelli - Viaggio Italiano (1997)[flac]                                                              |  316M | FLAC | 713 L
        Andreas Scholl - Crystal Tears - 2008, FLAC (tracks+.cue) lossless                                          |  317M | FLAC | 559 L
        Andrew Bird - Andrew Bird & The Mysterious Production of Eggs                                               |  290M | FLAC | 759 L
        Andrew Bird - Armchair Apocrypha                                                                            |  263M | FLAC | 761 L
        Andrew Lloyd Webber - 2001 - Gold [FLAC (tracks+.cue)]                                                      |  459M | FLAC | 860 L
        Andrew Lloyd Webber - Cats                                                                                  |       |      | 
            Disc 1                                                                                                  |  284M | FLAC | 824 L
            Disc 2                                                                                                  |  274M | FLAC | 808 L
        Andrew Lloyd Webber & Tim Rice - Evita  [1976 FLAC Log Cue]                                                 |       |      | 
            CD 1                                                                                                    |  256M | FLAC | 713 L
            CD 2                                                                                                    |  226M | FLAC | 607 L
        Android Lust - Resolution (1997) - FLAC                                                                     |  354M | FLAC | 955 L
        Animate Objects - Riding in Fast Cars With Your Momma (2007) (FLAC)                                         |  280M | FLAC | 798 L
        Anklebiter - I Will Wait                                                                                    |  369M | FLAC | 858 L
        Anne-Sophie Mutter - 2008 - Bach, Violin Concertos; Gubaidulina, In Tempus Praesens [FLAC]                  |  269M | FLAC | 590 L
        Anne-Sophie Mutter - Simply - 2006 - FLAC                                                                   |  278M | FLAC | 605 L
        Annie Lennox - A Christmas Cornucopia (2010) [FLAC (level 8)]                                               |  263M | FLAC | 814 L
        Annie Lennox - Bare (2003) [FLAC]                                                                           |  296M | FLAC | 845 L
        Annie Lennox - Cold Boxset (1992) [FLAC] {SynthPop}                                                         |       |      | 
            CD1 - Cold                                                                                              |  110M | FLAC | 842 L
            CD2 - Colder                                                                                            |  111M | FLAC | 894 L
            CD3 - Coldest                                                                                           | 93.7M | FLAC | 905 L
        Annie Lennox - Diva (1992 - FLAC LOG CUE)                                                                   |  288M | FLAC | 803 L
        Annie Lennox - Medusa (1995) [FLAC]                                                                         |  298M | FLAC | 900 L
        Annie Lennox No More 1995 FLAC                                                                              | 82.2M | FLAC | 895 L
        Annie Lennox - Songs of Mass Destruction (2007) [FLAC]                                                      |  286M | FLAC | 852 L
        Anton Barbeau - In the Village of the Apple Sun (2006)                                                      |  275M | FLAC | 829 L
        A_Perfect_Circle-Judith-(CDS)-2000-FLAC                                                                     |  110M | FLAC | 971 L
        Aperion - Act Of Hybris - 2010 [FLAC]                                                                       |  342M | FLAC | 999 L
        Aphex Twin - 51-13 Singles Collection (1996) [FLAC]                                                         |  276M | FLAC | 754 L
        Aphex Twin (1996) 'Girl,Boy' E.P                                                                            | 94.2M | FLAC | 847 L
        Aphex Twin - 1996 - Richard D. James Album [FLAC]                                                           |  190M | FLAC | 811 L
        Aphex Twin - Come To Daddy [EP] (1997) [FLAC]                                                               |  186M | FLAC | 780 L
        Aphex Twin - drukqs (2001) [FLAC]                                                                           |       |      | 
            Disc 1                                                                                                  |  267M | FLAC | 720 L
            Disc 2                                                                                                  |  259M | FLAC | 743 L
        Aphex Twin - On (CDS)                                                                                       |  140M | FLAC | 811 L
        Aphex Twin - Richard D. James Album                                                                         |  252M | FLAC | 814 L
        Aphex Twin - Selected Ambient Works 85-92 (1992) [FLAC] {R&S 2008 ReMas}                                    |  476M | FLAC | 892 L
        Aphex Twin - Selected Ambient Works 85-92 [FLAC]                                                            |  458M | FLAC | 858 L
        Aphex Twin - Selected Ambient Works Volume II [UK]                                                          |       |      | 
            (CD1)                                                                                                   |  269M | FLAC | 472 L
            (CD2)                                                                                                   |  293M | FLAC | 532 L
        Aphex Twin - Ventolin Remixes (CDS)                                                                         |  148M | FLAC | 752 L
        Aphex Twin - Windowlicker                                                                                   |  102M | FLAC | 892 L
        Apocalyptica - 7th Symphony (2010)                                                                          |  312M | FLAC | 914 L
        Apocalyptica - 1996 - Plays Metallica By Four Cellos                                                        |  254M | FLAC | 799 L
        Apocalyptica - 2001 - Cult - Special Edition                                                                |       |      | 
            disc 1                                                                                                  |  310M | FLAC | 824 L
            disc 2                                                                                                  |  153M | FLAC | 934 L
        Apocalyptica - 2005 - Apocalyptica                                                                          |  327M | FLAC | 886 L
        Apocalyptica feat. Ville Valo & Lauri Ylönen - 2004 - Bittersweet [FLAC]                                    | 89.9M | FLAC | 880 L
        Apocalyptica - Inquisition Symphony [FLAC]                                                                  |  294M | FLAC | 879 L
        Apocalyptica - Reflections                                                                                  |  326M | FLAC | 933 L
        Apoptygma Berzerk (2007) - APBL2000 (Remastered)                                                            |  498M | FLAC | 1022 L
        Apoptygma Berzerk - Mourn EP                                                                                |  276M | FLAC | 956 L
        Apoptygma Berzerk - Soli Deo Gloria                                                                         |  302M | FLAC | 896 L
        Apoptygma Berzerk-The Apopcalyptic Manifesto [FLAC]-1998                                                    |  475M | FLAC | 1002 L
        Apoptygma Berzerk - Welcome to Earth (FLAC)                                                                 |  425M | FLAC | 805 L
        Apparat Organ Quartet - 2010 - Polyfonia [FLAC]                                                             |  307M | FLAC | 929 L
        Arcade Fire - Funeral                                                                                       |  308M | FLAC | 900 L
        Arcade Fire - Neighborhood 2 Laika [2005, CD, FLAC]                                                         | 36.9M | FLAC | 851 L
        Architecture in Helsinki - Moment Bends (2011)                                                              |  257M | FLAC | 892 L
        Arctic Monkeys - 2008 - Live In Texas (7 June 2006) (CD - FLAC - Lossless)                                  |  263M | FLAC | 1024 L
        Arctic Monkeys - 2009 - Humbug [Japanese] (FLAC)                                                            |  306M | FLAC | 952 L
        Arctic Monkeys - Favourite Worst Nightmare (FLAC)                                                           |  261M | FLAC | 971 L
        Arctic Monkeys - Suck It And See - FLAC - 2011                                                              |  272M | FLAC | 950 L
        Arctic Monkeys - Teddy Picker                                                                               | 73.0M | FLAC | 1015 L
        Arctic Monkeys - Whatever People Say I Am, That's What I'm Not [2006] [FLAC]                                |  279M | FLAC | 952 L
        Arctic Monkeys - When the Sun Goes Down                                                                     | 46.5M | FLAC | 956 L
        Arctic Monkeys - Who the Fuck Are Arctic Monkeys_                                                           |  121M | FLAC | 900 L
        A Real Live Dead One                                                                                        |       |      | 
            A Real Live Dead One (disc one)                                                                         |  429M | FLAC | 1006 L
            A Real Live Dead One (disc two)                                                                         |  401M | FLAC | 954 L
        Aretha Franklin - Live At Filmore West (1971) [FLAC]                                                        |  312M | FLAC | 907 L
        arjincharj & equalszee - Growth Spurt (2011) (FLAC)                                                         |  339M | FLAC | 4793 L
        Arnaldo Antunes - O Corpo [FLAC] waffles                                                                    |  272M | FLAC | 901 L
        Arno Cost & Arias - Magento                                                                                 |  183M | FLAC | 957 L
        Art Blakey and The Jazz Messengers - Moanin' [FLAC]                                                         |  319M | FLAC | 899 L
        Arthur Lee - Vindicator wf                                                                                  |  354M | FLAC | 961 L
        Arvo Pärt - 1999 - Alina (FLAC)                                                                             |  120M | FLAC | 327 L
        Assassin's Creed - 2010 - Brotherhood [FLAC]                                                                |  327M | FLAC | 691 L
        Astor Piazzolla & Gary Burton - The New Tango (FLAC)                                                        |  263M | FLAC | 626 L
        Astra - 2012 - The Black Chord [FLAC]                                                                       |  293M | FLAC | 871 L
        Astral Projection - 1997 - Dancing Galaxy [flac]                                                            |  528M | FLAC | 926 L
        Astrix - Artcore (2004) [FLAC]                                                                              |  444M | FLAC | 963 L
        Astrix - Coolio [FLAC]                                                                                      |  203M | FLAC | 925 L
        Astrix_-_Eye_to_Eye-2002_FLAC                                                                               |  485M | FLAC | 899 L
        Astrix - Red Means Distortion 2010                                                                          |  530M | FLAC | 985 L
        ATB - Distant Earth (Limited Edition Fanbox) [FLAC]                                                         |       |      | 
            CD1                                                                                                     |  460M | FLAC | 923 L
            CD2                                                                                                     |  267M | FLAC | 677 L
            CD3                                                                                                     |  430M | FLAC | 910 L
        Athlete - 2009 - Black Swan (Deluxe Edition) (flac)                                                         |       |      | 
            Disc 1                                                                                                  |  283M | FLAC | 895 L
            Disc 2                                                                                                  |  126M | FLAC | 804 L
        Athlete - Tourist (2005) [FLAC]                                                                             |  300M | FLAC | 909 L
        Atlas Sound-Parallax-2011-FLAC                                                                              |  277M | FLAC | 799 L
        Atomic Kids - 1995 - Zob [FLAC]                                                                             | 23.6M | FLAC | 951 L
        A Tribe Called Quest - The Low End Theory                                                                   |  261M | FLAC | 761 L
        August - August (2011) [FLAC]                                                                               |  211M | FLAC | 957 L
        Augustus Pablo - In Fine Style FLAC                                                                         |  333M | FLAC | 841 L
        Augustus Pablo - King Tubbys Meets Rockers Uptown (Deluxe Edition FLAC)                                     |  297M | FLAC | 853 L
        Aura                                                                                                        |  367M | FLAC | 769 L
        Autechre - Gantz Graf [FLAC]                                                                                |  126M | FLAC | 916 L
        Autechre - Incunabula (1993) [FLAC] {WARP CD17}                                                             |  470M | FLAC | 843 L
        Avenged Sevenfold - 2005 - City Of Evil                                                                     |  527M | FLAC | 1013 L
        Avenged Sevenfold - Avenged Sevenfold (2007)                                                                |  379M | FLAC | 1002 L
        Avenged Sevenfold - Diamonds In The Rough (2008) [FLAC]                                                     |  395M | FLAC | 1028 L
        Avenged Sevenfold - Nightmare (flac)                                                                        |  460M | FLAC | 963 L
        Avenged Sevenfold-Warmness On The Soul-2001                                                                 |  108M | FLAC | 994 L
        Ayumi Hamasaki -1995- Nothing From Nothing [FLAC](log)(cue)                                                 | 91.1M | FLAC | 771 L
        BABY BABY - MONEY FLAC                                                                                      |  412M | FLAC | 992 L
        Band of Beards - Fuerteventura [24-96] [FLAC]                                                               |  482M | FLAC | 3159 L
